id,delta,epsilon,baseline_dist,simp_dist,orig_points,baseline_points,simp_points
4,-1,0.5,-1,-1,672,69,-1
2,226.9538575965781,0.5,340.43078639486714,321.5586437976602,1674,595,392
5,368.9647145659765,0.5,553.4470718489648,521.7993228609175,798,184,102
1,355.2884881179507,0.5,532.932732176926,502.45796441524203,588,90,62
3,155.40491105676338,0.5,233.10736658514506,219.8901520866978,1371,138,116
6,127.49004499587994,0.5,191.2350674938199,180.36956484768,792,67,64
7,156.1905194244966,0.5,234.28577913674494,220.89158576057,454,169,162
8,-1,0.5,-1,-1,5,5,-1
9,379.7617567186057,0.5,569.6426350779085,537.068025867918,643,190,92
11,140.3910851847135,0.5,210.58662777707022,198.54794779892325,703,247,234
10,-1,0.5,-1,-1,5617,243,-1
13,158.43155564237136,0.5,237.64733346355706,224.2680414492361,368,185,174
12,122.87007665326041,0.5,184.30511497989062,165.414591859364,814,3,4
14,286.83884599656346,0.5,430.2582689948452,405.6561869842653,661,137,72
15,313.0926859830843,0.5,469.6390289746265,442.7834171172184,1131,253,132
17,-1,0.5,-1,-1,1979,51,-1
18,4134.052230529623,0.5,6201.0783457944335,-1.0,1615,3,-1
20,-1,0.5,-1,-1,1520,157,-1
19,109.63039068634428,0.5,164.44558602951642,155.2169568097293,808,12,14
22,1.3333333602834804e-05,0.5,2.0000000404252205e-05,2.7487384280976766e-05,2,2,2
21,157.1049344381452,0.5,235.6574016572178,222.1847626183509,1491,172,160
23,312.2665845486001,0.5,468.3998768229002,441.61582007733034,865,162,82
16,107.42168813978014,0.5,161.13253220967022,151.92118457929013,4463,9,10
24,-1,0.5,-1,-1,2030,35,-1
26,163.3570346331589,0.5,245.03555194973833,231.02000000000044,1544,3,4
27,143.2946480673165,0.5,214.94197210097474,202.90204815431008,1974,433,398
25,132.9035794804188,0.5,199.3553692206282,187.95872806615117,2260,178,184
28,-1,0.5,-1,-1,6023,423,-1
29,133.07608987500055,0.5,199.61413481250082,188.2029091052558,1404,448,440
32,159.3920068365475,0.5,239.08801025482123,225.41804465218596,550,134,116
30,136.22484095437554,0.5,204.3372614315633,192.6559388232638,1966,454,414
33,176.93507136050883,0.5,265.40260704076326,250.2289292086012,975,341,270
34,-1,0.5,-1,-1,4594,181,-1
36,130.5113647788919,0.5,195.76704716833785,184.57561308464676,464,148,158
31,156.09294626113422,0.5,234.13941939170132,-1.0,3602,89,72
38,-1,0.5,-1,-1,1446,320,-1
35,-1,0.5,-1,-1,5621,62,-1
39,-1,0.5,-1,-1,1890,444,-1
37,120.1040216237331,0.5,180.15603243559966,169.8689484434779,426,33,34
40,111.76949571444256,0.5,167.65424357166384,158.07000004439885,7,5,6
43,0.0033171066635020127,0.5,0.004975659995253019,0.009154314210263692,5,5,6
41,-1,0.5,-1,-1,1792,305,-1
42,-1,0.5,-1,-1,1575,13,-1
45,0.00026662089536936645,0.5,0.00039993134305404965,0.00039993134305404965,3,3,4
44,132.73739563226786,0.5,199.1060934484018,187.7232727768028,1603,179,170
47,0.5021056446896002,0.5,0.7531584670344003,0.7100164314386597,8,6,8
48,188.94032797317425,0.5,283.4104919597614,267.20614033921777,905,227,168
46,181.7315119926375,0.5,272.5972679889563,257.00888740407026,1693,146,102
49,133.3258931097878,0.5,199.98883966468173,188.55444313533494,763,217,214
50,144.22829649665618,0.5,216.34244474498428,203.97432353312206,576,189,192
51,280.4746380380006,0.5,420.71195705700086,396.651284441818,858,119,78
53,-1,0.5,-1,-1,1837,73,-1
52,94.80305359346461,0.5,142.20458039019692,134.07137506341664,1059,5,6
54,200.55663290099312,0.5,300.8349493514897,283.63466013841384,1636,358,248
56,-1,0.5,-1,-1,1799,356,-1
55,204.34127943897408,0.5,306.5119191584611,288.9866816026004,1552,212,160
57,436.3392079600679,0.5,654.5088119401019,617.0795704478885,676,193,96
58,152.7549839113604,0.5,229.1324758670406,216.0329738562908,1791,316,284
59,-1,0.5,-1,-1,1721,65,-1
60,118.07754880114659,0.5,177.1163232017199,166.98687566101574,1714,3,4
61,308.2774744125298,0.5,462.4162116187947,435.975020055402,1749,448,246
62,48.41593706896786,0.5,72.62390560345179,68.47052076799947,1673,3,4
64,172.89448005083656,0.5,259.34172007625483,244.51455476511526,1374,502,410
63,402.7858027180385,0.5,604.1787040770578,570.95715751102,1697,550,254
65,267.4417337807299,0.5,401.1626006710949,379.04140373154115,1223,459,254
66,133.47287189041785,0.5,200.20930783562676,188.76000000000602,1009,114,104
67,-1,0.5,-1,-1,4,2,-1
68,133.22580774976726,0.5,199.8387116246509,188.42923373068987,2184,521,508
69,-1,0.5,-1,-1,3160,267,-1
70,1237.4664416630887,0.5,1856.199662494633,1750.0400000009463,766,178,28
71,-1,0.5,-1,-1,2082,148,-1
72,147.45206817506093,0.5,221.1781022625914,209.90251780734215,1688,457,398
73,246.50796402769905,0.5,369.7619460415486,348.619845273648,1098,338,224
74,162.81165369395785,0.5,244.21748054093678,230.25454651484083,1417,329,280
76,178.3265108141687,0.5,267.48976622125303,252.23120106583815,998,330,268
75,200.2088425342176,0.5,300.3132638013264,284.306404202223,1714,288,204
77,208.24575372947973,0.5,312.3686305942196,294.57723382378714,1663,216,146
78,1670.5258031553892,0.5,2505.7887047330837,-1.0,985,3,-1
80,164.3541238142753,0.5,246.53118572141298,232.43218627402155,1193,176,126
79,161.78429934759762,0.5,242.67644902139642,228.80212675720568,1766,172,150
81,-1,0.5,-1,-1,1795,286,-1
82,193.1351433483111,0.5,289.70271502246663,273.1350499864011,662,78,42
83,235.86449731664047,0.5,353.7967459749607,333.91727486307343,973,364,234
85,175.37334743393794,0.5,263.0600211509069,248.0203362004189,1657,475,406
84,191.1249910878167,0.5,286.68748663172505,270.2954361210228,2643,349,238
86,153.64201602429742,0.5,230.46302403644614,217.28740993808574,1054,278,244
87,177.09930331172083,0.5,265.64895496758123,250.46123656531338,1265,375,304
88,255.04892873482208,0.5,382.5733931022331,360.697458692963,1274,362,232
89,145.3736828991427,0.5,218.06052434871404,205.59390730746537,1585,492,442
91,-1,0.5,-1,-1,1770,8,-1
92,373.4882667560643,0.5,560.2324001340965,528.1968427318544,754,214,102
90,496.5239552928461,0.5,744.7859329392692,702.2640802850783,1254,341,130
93,-1,0.5,-1,-1,1680,150,-1
95,310.66339690388094,0.5,465.99509535582143,439.3484127195047,838,208,118
94,210.96003937581472,0.5,316.44005906372206,298.34628870137817,1629,186,130
96,171.7716131239838,0.5,257.6574196859757,-1.0,1002,9,8
97,210.82502687420916,0.5,316.23754031131375,298.15554007933815,904,188,130
100,132.64430805559368,0.5,198.96646208339052,187.59133075888906,1323,306,290
99,249.3139523695406,0.5,373.9709285543109,352.5799999999999,865,7,8
98,254.98401079983762,0.5,382.47601619975643,360.8012731375048,1836,240,144
101,-1,0.5,-1,-1,9,4,-1
102,272.46683666033806,0.5,408.70025499050706,385.32931970786615,987,170,90
103,134.64370345954822,0.5,201.96555518932232,190.41944881273128,892,180,190
104,375.18370836484183,0.5,562.7755625472628,530.5942554621947,1032,278,144
105,278.22274376179354,0.5,417.3341156426903,393.4694611008138,801,171,106
106,176.70249519766026,0.5,265.0537427964904,249.8998355150071,858,403,336
107,214.6297477917426,0.5,321.9446216876139,303.5362757595459,1258,221,160
108,311.00727108791676,0.5,466.5109066318752,439.8343124575189,945,312,178
109,187.8896387846944,0.5,281.8344581770416,265.71940382414766,633,203,166
110,132.96068107333542,0.5,199.44102161000313,188.4851360729786,778,229,236
111,326.64104244436567,0.5,489.9615636665485,461.94200600348915,136,53,44
112,169.280793272306,0.5,253.92118990845898,239.40348005108706,353,109,96
114,124.47623862278301,0.5,186.71435793417453,176.0409095246347,326,259,256
113,190.40639984006313,0.5,285.6095997600947,269.28007764924104,1883,321,228
117,222.19454279011237,0.5,333.29181418516856,314.2316579804943,666,144,98
115,341.72559559244445,0.5,512.5883933886666,483.2776227713379,1197,241,102
116,172.84071542370214,0.5,259.2610731355532,244.43667276940977,1614,320,260
119,0.0011850584536072628,0.5,0.0017775876804108943,0.0017775876804108943,2,2,2
121,-1,0.5,-1,-1,1588,204,-1
123,123.55334672912596,0.5,185.33002009368894,174.7338022807961,1794,67,62
120,300.2118609823602,0.5,450.3177914735403,424.56489565014,1188,18,16
124,-1,0.5,-1,-1,2040,5,-1
125,218.35547654627666,0.5,327.533214819415,308.80620677839033,875,282,212
126,-1,0.5,-1,-1,819,186,-1
127,181.5598670650288,0.5,272.3398005975432,256.7692671678622,656,24,18
128,281.6248583753158,0.5,422.43728756297367,398.2824203396616,1074,212,126
129,131.14920663509648,0.5,196.7238099526447,-1.0,851,122,118
130,159.16549568499988,0.5,238.74824352749982,225.4562258654704,895,196,168
134,-1,0.5,-1,-1,867,92,-1
132,166.82454428023397,0.5,250.23681642035095,-1.0,3751,231,178
133,133.01327896756956,0.5,199.51991845135433,188.11372115757655,1550,189,188
135,154.33748329194955,0.5,231.50622493792432,218.27000000151668,604,29,28
136,156.6259769502366,0.5,234.9389654253549,221.5005673572319,2492,5,6
