id,best_delta,epsilon,baseline_dist,best_simp_dist,orig_points,baseline_points,best_points,note
2,10.494525842993726,0.5,15.74178876449059,-1.0,1674,1571,1240,frechet_failed_or_timeout
4,11.860031060960358,0.5,17.790046591440536,16.77729485416093,672,136,104,
5,-1,0.5,-1,-1,798,338,-1,baseline_frechet_failed
1,7.551141182360547,0.5,17.69798714615753,10.70274197126193,588,206,188,
8,0.0,0.5,0.0,-1.0,5,5,-1,simplify_failed
6,11.459157853084143,0.5,21.485920974532768,16.280813419407984,792,405,260,
3,5.814148473654251,0.5,21.29204763301117,8.227348000194189,1371,650,570,
10,12.400289933703036,0.5,18.600434900554554,-1.0,5617,2618,-1,simplify_failed
9,7.020920853237526,0.5,20.569104062219314,9.933985742172778,643,557,474,
11,11.440444238517784,0.5,17.160666357776677,-1.0,703,640,456,frechet_failed_or_timeout
13,6.727887563114415,0.5,10.091831344671622,9.51964956264116,368,337,310,
10,12.400289933703036,0.5,18.600434900554554,-1.0,5617,2618,1224,frechet_failed_or_timeout
12,5.068544646343241,0.5,14.849251893583714,7.171575459541347,814,174,174,
15,11.369367546517164,0.5,21.317564149719683,16.09408719150541,1131,912,652,
14,6.714282762699058,0.5,19.670750281344898,9.500330311088847,661,497,376,
17,11.596613874606824,0.5,17.394920811910236,-1.0,1979,344,180,frechet_failed_or_timeout
16,6.795348699837981,0.5,10.193023049756972,-1.0,4463,227,120,frechet_failed_or_timeout
20,-1,0.5,-1,-1,1520,437,-1,baseline_frechet_failed
22,1.3333333602834804e-05,0.5,2.0000000404252205e-05,2.7487384280976766e-05,2,2,2,
21,14.339467073303226,0.5,21.50920060995484,20.283840435054284,1491,496,356,
23,10.3405098569522,0.5,15.510764785428302,14.628634387170912,865,388,316,
18,6.957282425994791,0.5,16.30613068592529,9.842871233230941,1615,91,84,
19,4.322505822932107,0.5,15.829489097651754,6.117317664820183,808,122,120,
27,10.470874063931321,0.5,15.70631109589698,14.935311628851498,1974,1566,1072,
28,-1,0.5,-1,-1,6023,2551,-1,baseline_frechet_failed
24,6.291085618679066,0.5,18.430914898473823,8.901762834790881,2030,625,592,
26,6.41395252799288,0.5,18.790876546854136,9.08178688426893,1544,198,192,
29,11.29594777898172,0.5,16.94392166847258,-1.0,1404,1246,952,frechet_failed_or_timeout
30,13.615109402354014,0.5,20.42266410353102,19.27957239973169,1966,1729,1164,
31,14.677360157985866,0.5,22.0160402369788,-1.0,3602,1100,464,frechet_failed_or_timeout
25,3.530108186571713,0.5,20.199441070013304,5.022659259564681,2260,1653,1458,
34,12.016519815366891,0.5,18.024779723050337,-1.0,4594,1968,900,frechet_failed_or_timeout
35,12.155232279530795,0.5,18.232848419296193,-1.0,5621,1068,452,frechet_failed_or_timeout
33,5.107173652357566,0.5,14.962422809641303,7.2275614170559175,975,741,662,
38,-1,0.5,-1,-1,1446,714,-1,baseline_frechet_failed
32,1.3913219626508162,0.5,19.43654328562527,1.9725544879593457,550,415,362,
36,11.675468097317976,0.5,17.513202145976965,-1.0,464,275,226,frechet_failed_or_timeout
39,-1,0.5,-1,-1,1890,1261,-1,baseline_frechet_failed
40,0.0,0.5,0.0,-1.0,7,7,-1,simplify_failed
41,-1,0.5,-1,-1,1792,853,-1,baseline_frechet_failed
43,0.0,0.5,0.0,-1.0,5,5,-1,simplify_failed
45,-1,0.5,-1,-1,3,3,-1,baseline_frechet_failed
37,4.672440148242157,0.5,17.11098687100399,6.625139298881956,426,187,182,
47,0.0,0.5,0.0,-1.0,8,7,-1,simplify_failed
44,14.815293929964447,0.5,22.22294089494667,20.956971887057115,1603,577,434,
46,14.079313819156498,0.5,21.118970728734748,19.916128948197986,1693,920,634,
48,7.243427928153715,0.5,10.865141892230573,-1.0,905,458,400,frechet_failed_or_timeout
42,6.709422542192479,0.5,15.725209083263621,9.489999999999782,1575,227,204,
51,11.437549529053106,0.5,21.445405366974573,16.34535273150963,858,688,458,
50,3.471645236161225,0.5,10.170835652816086,4.914628675915858,576,479,396,
49,2.3531736681367406,0.5,10.771974188858367,3.3328673578558288,763,674,574,
52,7.152235654696362,0.5,16.763052315694598,10.122867033794135,1059,198,180,
56,-1,0.5,-1,-1,1799,966,-1,baseline_frechet_failed
55,10.988781999331962,0.5,16.483172998997944,-1.0,1552,627,476,frechet_failed_or_timeout
54,13.327970962009248,0.5,19.991956443013873,18.89309217888081,1636,1029,800,
59,-1,0.5,-1,-1,1721,427,-1,baseline_frechet_failed
57,7.76516597907375,0.5,14.55968621076328,10.992118814365314,676,592,468,
61,11.800649890449094,0.5,17.70097483567364,-1.0,1749,1160,922,frechet_failed_or_timeout
58,10.253484670141315,0.5,19.225283756514965,14.582285443656886,1791,801,664,
53,7.552921763195084,0.5,22.127700478110594,10.72144097604555,1837,752,616,
62,6.676326911637997,0.5,10.014490367456995,-1.0,1673,73,40,frechet_failed_or_timeout
63,11.766385840009532,0.5,17.649578760014297,-1.0,1697,1357,1118,frechet_failed_or_timeout
60,5.816369352320979,0.5,13.632115669502296,8.229999999999563,1714,133,124,
